item_id,item_name,item_description,item_cost_price,item_retail_price
1-71447-910-2,Configurable systematic capability,engage revolutionary platforms,6621.62,19293.98
1-237-95200-X,Object-based multimedia neural-net,expedite web-enabled partnerships,8628.28,11293.83
0-592-74293-8,Inverse homogeneous extranet,reinvent visionary e-business,6504.54,15365.55
1-4494-5955-2,Distributed static system engine,implement cross-media users,5604.99,15704.22
1-82092-463-7,Vision-oriented encompassing capacity,evolve leading-edge networks,324.93,621.46
1-75223-297-6,Stand-alone mobile capability,deploy cross-platform supply-chains,9956.46,28111.38
1-70408-579-9,Innovative intangible contingency,expedite wireless action-items,6543.36,18512.11
0-8007-9637-3,Inverse interactive matrices,synergize cross-media systems,1186.4,2199.62
0-302-41872-5,Pre-emptive web-enabled firmware,redefine back-end systems,7380.46,13119.96
0-88310-438-5,Centralized needs-based groupware,syndicate best-of-breed action-items,5108.92,8777.13
0-8216-5501-9,Vision-oriented context-sensitive neural-net,productize efficient schemas,3886.09,11371.35
1-160-77306-8,Grass-roots 5thgeneration success,redefine strategic models,6251.13,16759.58
0-539-97347-5,Extended web-enabled database,whiteboard impactful methodologies,9486.32,10493.21
0-668-16718-1,Fully-configurable logistical groupware,synthesize mission-critical info-mediaries,9707.32,14567.75
1-158-30233-9,Virtual bifurcated circuit,disintermediate back-end info-mediaries,605.61,1449.96
1-4083-0399-X,Open-architected systemic archive,synthesize wireless functionalities,498.73,1424.81
1-4257-3976-8,Fully-configurable zero tolerance focus group,mesh web-enabled e-services,514.53,1008.88
0-311-52527-X,Progressive reciprocal interface,synergize interactive communities,6676.3,9674.79
1-4476-3417-9,Advanced mission-critical moderator,reinvent strategic content,307.35,582.07
0-239-93663-9,Programmable stable paradigm,streamline leading-edge bandwidth,6314.88,7476.2
1-164-11369-0,Balanced dynamic analyzer,strategize strategic ROI,5176.08,12268.77
1-83164-707-9,Implemented 6thgeneration data-warehouse,benchmark distributed communities,7720.03,21391.63
0-289-91901-0,Exclusive web-enabled protocol,integrate bricks-and-clicks paradigms,4115.27,11727.5
1-69103-395-2,Enterprise-wide upward-trending strategy,strategize cross-media action-items,6712.4,14738.46
0-02-380423-8,Enhanced national success,synthesize world-class portals,524.34,951.91
0-7141-8546-9,Extended bi-directional process improvement,transition visionary solutions,1193.52,2906.1
0-12-286448-4,Multi-layered needs-based functionalities,engineer holistic web-readiness,5063.16,7625.97
1-933260-00-9,Open-source 3rdgeneration Graphical User Interface,engineer value-added technologies,4900.24,13022.91
1-239-86834-0,Versatile zero administration policy,repurpose leading-edge applications,8557.17,23421.77
1-4467-6096-0,Open-architected secondary database,extend rich vortals,7593.77,20640.52
0-01-717479-1,Integrated needs-based complexity,scale turn-key infrastructures,3425.02,5118.67
1-59126-379-4,Advanced fault-tolerant success,grow synergistic methodologies,1442.01,4057.15
0-257-20790-2,User-friendly optimizing system engine,redefine extensible platforms,8091.38,20181.31
0-682-99878-8,Organized multimedia open architecture,matrix innovative experiences,115.67,239.72
1-5339-0165-1,Synergistic regional collaboration,whiteboard value-added platforms,9836.86,24266.93
1-84426-958-2,Reduced impactful array,re-intermediate intuitive channels,9250.28,11443.02
1-354-00803-0,Stand-alone modular knowledge user,evolve value-added systems,1404.94,2316.52
0-8189-0617-0,Open-source 5thgeneration productivity,revolutionize killer networks,881.11,1449.64
1-208-92581-4,Implemented local superstructure,unleash magnetic niches,3827.76,5242.06
0-14-678009-4,Organic well-modulated system engine,e-enable end-to-end networks,2599.9,6851.41
0-18-258946-3,Polarized modular methodology,e-enable killer e-business,5618.76,6950.66
1-65593-056-7,Cross-group explicit customer loyalty,integrate dot-com functionalities,4090.76,5973.35
1-4407-1966-7,Versatile system-worthy core,synthesize intuitive technologies,1894.68,5609.26
0-365-25576-9,Cross-platform optimal superstructure,enhance wireless e-commerce,4742.38,14217.66
0-577-58554-1,Advanced 24/7 database,evolve cross-media users,2668.12,7257.71
0-8153-0450-1,Up-sized multimedia migration,extend global supply-chains,1903.55,5392.88
1-207-93326-0,Expanded next generation Local Area Network,deliver cutting-edge web services,1259.62,3140.8
1-5220-1394-6,Up-sized didactic superstructure,revolutionize synergistic ROI,7289.98,12719.8
0-469-21982-3,Diverse incremental superstructure,benchmark granular action-items,487.93,663.46
1-59157-301-7,Optional bottom-line contingency,enable plug-and-play partnerships,3363.4,3870.53
0-05-597353-1,Automated encompassing portal,repurpose vertical info-mediaries,3109.82,5629.45
1-890677-17-5,Re-contextualized 24/7 throughput,syndicate clicks-and-mortar schemas,9786.31,16928.14
0-351-94756-6,Pre-emptive mobile initiative,engage visionary technologies,4200.72,7788.22
0-476-73108-9,Implemented incremental knowledge user,monetize clicks-and-mortar markets,8949.56,12654.14
1-00-166641-0,Organized background superstructure,syndicate user-centric interfaces,1327.35,2501.02
